Usuarios,Bitrate,LatenciaMedia,LatenciaError95,JitterMedio,JitterError95,PerdidaMedia,PerdidaError95
100,10,61.0537,2.92798,12.0533,0.168744,0.546796,0.0720734
100,20,31.3989,0.762712,7.65581,0.0571154,0.224199,0.0099335
100,30,1.26437,0.089529,0.579846,0.0245624,0,0
100,40,0.896461,0.0456695,0.346766,0.0100143,0,0
100,50,0.698505,0.0193073,0.292087,0.0143396,0,0
100,60,0.611556,0.0276507,0.248841,0.0111004,0,0
100,70,0.572521,0.0284723,0.199604,0.00433774,0,0
100,80,0.489471,0.0206383,0.186672,0.0073802,0,0
100,90,0.496465,0.0161306,0.174962,0.000945034,0,0
100,100,0.461407,0.0226061,0.174457,0.0037696,0,0
100,110,0.455382,0.0148999,0.167024,0.00382219,0,0
100,120,0.432507,0.0162954,0.163325,0.00376337,0,0
150,10,71.7834,2.01107,17.0584,0.141745,0.671181,0.0317392
150,20,41.4281,0.936349,10.1459,0.113602,0.456959,0.0220303
150,30,30.076,0.625504,7.89889,0.0447638,0.25917,0.00668159
150,40,1.94798,0.0894494,1.14259,0.0697045,0,0
150,50,1.10772,0.0395716,0.461677,0.0153668,0,0
150,60,0.945571,0.042202,0.368572,0.0108992,0,0
150,70,0.86501,0.0331327,0.323141,0.00661437,0,0
150,80,0.741472,0.0347689,0.286398,0.0103572,0,0
150,90,0.694503,0.0234518,0.265194,0.00833554,0,0
150,100,0.676333,0.0252431,0.257568,0.00849769,0,0
150,110,0.642242,0.0236746,0.257872,0.00827856,0,0
150,120,0.655882,0.0235919,0.253748,0.00851346,0,0
200,10,88.8695,6.60706,22.8338,0.430098,0.865199,0.140873
200,20,51.4756,1.66362,12.8921,0.121617,0.612514,0.0514181
200,30,38.391,0.746371,9.87442,0.0419602,0.437874,0.0211673
200,40,28.9373,0.64553,8.16109,0.0705958,0.258213,0.00967787
200,50,7.11092,0.404378,3.73765,0.19028,0,0
200,60,1.36986,0.0650326,0.656498,0.0399782,0,0
200,70,1.13886,0.0617075,0.451501,0.011276,0,0
200,80,0.994701,0.0485823,0.395238,0.0153656,0,0
200,90,0.927744,0.0359739,0.357659,0.0115048,0,0
200,100,0.878326,0.0309606,0.34934,0.00707682,0,0
200,110,0.845717,0.0273688,0.359706,0.0100669,0,0
200,120,0.858849,0.0270128,0.349549,0.00670132,0,0
250,10,94.0958,9.33533,26.7333,1.14947,0.818545,0.0696458
250,20,56.9093,2.7934,14.8314,0.253734,0.702169,0.0735352
250,30,42.0962,1.86356,11.1961,0.0914364,0.515392,0.0241281
250,40,33.6761,0.412457,9.16379,0.0731822,0.372334,0.00771593
